,Product,Ratings,Reviews
0,Shure SE215-CL Clear Sound Isolating In-Ear Headphones & RMCE Remote +...,2.0 out of 5 stars,"I love how easy they are to use and they are what most of our production team use. I did not get the mic cable or splitter with the bundle as described. Very disappointed. If I just wanted headphones with extra buds, I wouldn't have paid the extra amount. Cb"
1,Shure SE215-CL Clear Sound Isolating In-Ear Headphones & RMCE Remote +...,5.0 out of 5 stars,"Headsphones are fantastic, exceeded expectations. Seller did not initially send splitter cable, but has been responsive and I expect this to be resolved shortly."
2,Shure SE215-CL Clear Sound Isolating In-Ear Headphones & RMCE Remote +...,2.0 out of 5 stars,"The headphones, thankfully, came in as promised as well as the mic and remote. However, I did not get the jack splitter y-cable in my package which is disappointing because I paid for them too."
