,Comments,Date,Product,Ratings,Reviews,Title
,Comments,Date,Product,Ratings,Reviews,Title
0,2 people found this helpful. Was this review helpful to you?, June 29 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"these are really great---even AMAZING---for the price! i can't use those awful newfangled earbuds with the rubber tips, and it's getting impossible to find this kind in stores, so i bought two pairs of earbuds---these and some like knockoff-y samsung 6 ones like the ones that originally came with my phone---and these are WAY better. they stay in my ears while running (my ultimate #1 on checklists) and, as i use them every day and night, have already been through quite a bit of wear in two months and are going strong (they're getting a little crackly but it is not bothersome). i love that they come in all sorts of colors---makes it easy to identify which are mine/most current and find them in a pinch. no more frustrating rubber tip earbuds or cheap sad ones when i can find em at walgreens! i'm basically going to order these forever :)",worth it!!! sponsor me sony
1,4 people found this helpful. Was this review helpful to you?, January 9 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I've used these earbuds for years and swear by them. If you want ear buds that you can take on 0 degree runs, accidentally send through the washer and dryer, travel with, crumple in your pocket, use to catch a falling phone, and generally misuse, buy these. Sound quality is still the same as the day I opened the package, and I've put these puppies through the wringer.

I buy a new pair every 2 years or so, and these are earbuds that I carry with me every single day. I've since been able to get other friends to use these in place of more expensive headphones, since the jewel tone plastic makes it easy to spot, and there's no need to baby these buds.",The sound of a deal
2,2 people found this helpful. Was this review helpful to you?, June 14 2017,Sony MDRE9LP/BLK Ear Buds,2.0 out of 5 stars,"When I needed new earbuds I bought three sets to compare: Sony MDRE9LP, JVC HAF160, and Panasonic RP-HV41. All three are around $8.

In my opinion the Sony's were the worst, mostly due to the terrible bass response. Both the JVC and Panasonic buds had decent bass. In the end I liked the JVC set the best due to that and the fact they fit the best - the Panasonic ones are awkward and fall out easily.

For the record, I dislike buds that enter the ear canal. While they would probably give even better bass, I just can't do it.",There are better buds for your money
3,3 people found this helpful. Was this review helpful to you?, September 11 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"These are my fave earbuds. Most earbuds, even the Apple ones that came with my phone, feel horrible in my ears after about 20 minutes. These are great. I can even sleep in these without discomfort. I've purchased a back-up pair for later. The audio quality is not the best out there, but for me, it doesn't matter if they sound amazing if my ear canal is in pain the whole time. They'd be perfect if they had a mic to use for phone calls",Very comfortable earbuds
4,3 people found this helpful. Was this review helpful to you?, August 31 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I'm not an audiophile. I do like my music to sound good. I also HATE the new ear buds that are dominating the market that have a piece that goes into your ear canal. What IS that?! It feels like a rectal exam for my ear. This is one of the few brands that still makes the kind that just sit in the outer part of your ear. They sound great. I have two pairs, one for two years and the other for a year. They still work great. I do not treat them gently but I haven't noticed any damage or crackling, and I use them almost every day. I wish they would give you extras of those foam covers, but oh well. I bought some separately here on Amazon and I switch thm out every so often.",I do like my music to sound good
5,One person found this helpful. Was this review helpful to you?, July 21 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"for the price they work well and sound well. I bought these and one pair from another brand as a backup as the last few sets have not lasted long at all. So far these have worked well for months. They still sound good and have not frayed or split yet even though I have snagged them a bunch of times. Might buy a backup set while these are still made. They are not audiophile quality, but they are not terrible or full of noise either. Since I go through them often I try to buy the $5-$15 pairs because after that it starts to hurt too much to keep replacing.",great bang for the buck.
6,One person found this helpful. Was this review helpful to you?, January 17 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I've purchased a bunch of these headphones in different colors in the past and I always come back for more. They are not the greatest sounding headphones out there, nor the most durable, but for headphones that cost less than $10, they are great. Also, they are not the headphones that go in ear (bullet looking headphones) which are now everywhere and I just can't keep those in my ears while exercising, they always come out. So I come back for these.

I wear these to the gym every day to listen to podcasts/music and each time they last between six and eight months. Pretty good overall based on cost.",Pretty good for the price
7,One person found this helpful. Was this review helpful to you?, January 31 2017,Sony MDRE9LP/BLK Ear Buds,1.0 out of 5 stars,"The quality of these earbuds is terrible. I had a pair of these a few years ago (that were actually good) and when my current pair of earbuds died; I thought I'd save some money and try these out again. They've obviously changed something because these are AWFUL.

The sound quality is horrible. It sounds like the audio is coming from inside a tunnel. That's underwater. And 50 miles away. Very tinny and high with lots of static. The earbuds themselves feel too big as well, they don't fit in my ear quite right. I should have read more of the recent reviews before I wasted money on these.",Yikes
8,5 people found this helpful. Was this review helpful to you?, January 26 2015,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"Earbuds these days are like shirts. Everyone has them, you can get them for $1 and up. But these particular earbuds are the best quality you can buy for under $10. If you could do a sound comparison on these and the $10+ ones you will find subtle differences, but compared to any that cost $1, major differences, and these were only around $7! I like the depth of these, not tinny or compacted, there are definite deeps and lows in these compared to more treble as many others have. For a true audiophile, for the price and size they perform really well and are long enough to work while listening to your tunes. I use them on the subway train and don't really HAVE to turn them up all the way to get a rich sound with an ipod. I have two pairs because I like them so much. If you can afford these, get them. They will be your best sounding micros for the price!",Great sounding pair of Earbuds for the money!!
