,Comments,Date,Product,Ratings,Reviews,Title
,Comments,Date,Product,Ratings,Reviews,Title
0,4 people found this helpful. Was this review helpful to you?, January 3 2018,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),1.0 out of 5 stars,"This is the worst sounding headset I have ever bought. $3 airline headsets have far better sound than these. They are also very inefficient. I can barely hear the left speaker with the volume on max. I have bought many headsets for myself and family, including a number of Sonys. I never had a problem with Sony before.

On the plus side, they are comfortable.",Airline headsets have better sound
1,6 people found this helpful. Was this review helpful to you?, December 23 2016,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"My brother loved it. The first ones I gave him (2 years ago) still works, but the leather has been deteriorating for the regular use. For that reason I got a new one for him.",Recommended.
2,One person found this helpful. Was this review helpful to you?, April 4 2018,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),2.0 out of 5 stars,"The package had already been opened, the manufacturer's tape/seal was cut in one area and the box looked to have been bent in that area to allow for the product to be taken out.
One strike against, but maybe someone just didn't like the fit. So I open it up and the head phones are great!
The cord is thick and sturdy, the head phones rest well on my ears and head, perfect! Happy camper.
I plug them in and.. click click.
Click *music*, click *nothing*.

Seems this was a returned item as it's quite defective. :(
The plug has a small area that is moving in and out and with each movement the sound is being disrupted.
I've returned it for a full refund and will try once more to get a working pair as I did quite like them.",I got a defective/used pair but..
3,One person found this helpful. Was this review helpful to you?, November 18 2017,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),3.0 out of 5 stars,"I need several sets of fairly compact folding headphones with decent sound and a good price, so ordered these along with two others to try out (the JVC HAS160A and the Panasonic RP-HX40-G.) Having used Sony products in the past, I expected these to outperform the others, but they didn't. The sound isn't as loud as the others, and it's fairly muffled, not clear. Clarity is important in my application (hard of hearing assistance), but even for casual music listening, these would be disappointing. I tried them on a small battery player and a more powerful Yamaha mixer, but couldn't tell a difference in the sound quality, just more volume on the mixer.
On the plus side, they have a little better bass than the others, and are probably more comfortable to wear for long periods (I only tried them for about a half hour.) And they look more impressive, being quite a bit more bulky.","Comfortable and decent bass, but overall poor sound quality"
4,3 people found this helpful. Was this review helpful to you?, May 8 2017,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),3.0 out of 5 stars,These are cheap and totally okay headphones. They don't have fantastic sound quality but you get used to it after a few minutes. They seem well built and collapse into a more manageable shape if you want to carry them in a backpack or whatever. Honestly I would not buy these again because I like a bit more sound quality but now I know. Would be a decent gift or for someone who just needs decent headphones at a low price.,World's Okayest Headphones
5,251 people found this helpful. Was this review helpful to you?, December 15 2014,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"In this household, we care a lot about sound quality. We're spoiled with great 2 channel stereos. For headphones I listen to Grado headphones, at least until they finally broke down. Recently we found ourselves surrounded by headphones.

So, in a headphone shootout here at home, two kids, two adults we came to this conclusion.

$200 Beats (paid $70 black Friday sale price): 1/4 picked as fav. (the teen)
$120 Bose: 1/4 picked as fav. (the mom)
$10 Sony: 2/4 picked as fav. (the audiophiles, dad and 10 year old)
$20 Apple earbuds 0/4 picked as fav. (universally hated)

We listened to uncompressed rock over an iPod shuffle, or Youtube.

These ""giant killer"" Sony phones have a clear, detailed, open sound. Meaning that the music don't sound cluttered between your ears, it seems to extend to around your head. Bass has real detail: you can hear the note, the reverb and the string pluck. For bass, these beat the Bose and Beats, with ease. Also, unlike Beats, you can actually hear people talk to you when you have these on. Not everybody in my family thought these were the best sounding though, my wife preferred the Bose.

The low point: they aren't as super comfortable as the Bose. Everybody agrees the Bose are the super comfy pair. Technically, these were not the loudest, but they were plenty loud enough!",mini-shootout winners
6,20 people found this helpful. Was this review helpful to you?, July 6 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,These head phones have amazing sound at an incredible cost. Was not expecting such great quality for $10!!!!!,I am very pleased with my purchase
7,2 people found this helpful. Was this review helpful to you?, April 16 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"I bought this for my electric/digital piano (Korg), as I live below my landlord, and cant play over my amp. Not used to headphones, and liking the sound of the amp, I thought of this as an experiment. With budget being at the forefront of my mind in this experiment and with many expenses related to a move, I gave it a try, and to my surprise, am pretty impressed with them. What I was thinking, that the 'directness' of playing thru an amp' would not be equaled by a headphone, is actually not the case; the headphone puts me more in my piano world, to the exclusion of anything else, and in that way makes it even more direct.You cant really sing along with it but I knew I had to forego that with the landlord above me, so I do that elsewhere. Instead I focus on the piano parts. I chose this head-phone for the extra bass, as I like to hear the deep piano bass sounds akin to a grand, and it does deliver in that range as well. Considering the budget, and knowing there are probably better and way more expensive professional phones out there, I 'm very happy with this purchase.",Delivers on electric piano !
8,One person found this helpful. Was this review helpful to you?, October 14 2015,Sony MDRZX110/BLK ZX Series Stereo Headphones (Black),5.0 out of 5 stars,"Comfortable for extended use even though I have a larger sized head.
Sound is good and balanced for such a bargain price set of head phones.
Not bass heavy nor too bright with the highs, just a slightly over emphasized mind range.
So adjust the EQ on your player to suite your own taste. I set mine to boost the bass and treble.

Just don't expect audiophile quality from a $15 set of headphones and you will love these!
I use mine for listening to music on an ipod while landscaping and using power tools.
Perfect! No worries about spoiling an expensive set of headphones.

One caveat: volume levels are fine with my MP3 player or Tablet, but when used with my desktop computer
the volume levels are low. It maybe my computer set-up or sound card (ASUS Xonar DGX), but all my other
earbuds & headphones have good volume levels when used with the same computer. No problem for me
as I only use mine for listening to music on an ipod while landscaping and working with louder power tools.

Edit: 11/10/2015:
I found some settings in the Asus Xonar DGX sound card software that amplified the signal if using higher impedance headphones, so now I have good volume levels when using my computer as a source.",Great budget headphones.
